"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Chamberlin, Primrose J.F.","United Kingdom Independence Party",224,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Davis, Elliot   ","Liberal Democrat",584,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Eade, Martyn B.","United Kingdom Independence Party",246,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Finlayson, Peter J.","Liberal Democrat",618,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Groom, Mary J.","Labour",680,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park","*","Hillan, Lynne   ","Conservative",2827,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"McGrath, Francis J.","Labour",609,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Mustafa, Filiz   ","Liberal Democrat",515,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Persad, Robert I.I.","Labour",600,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Povey, Lee T.","Green",427,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Roper, Richard W.","United Kingdom Independence Party",213,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park","*","Rutter, Lisa   ","Conservative",2636,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park","*","Tambourides, Andreas   ","Conservative",2722,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak",,"Braun, Rene A.","Conservative",571,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak","*","Farrier, Claire   ","Labour",2078,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak",,"Feszczur, Henryk P.","Liberal Democrat",381,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak",,"Iwi, Diana C.","Liberal Democrat",348,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak","*","McFadyen, Linda R.","Labour",1886,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak",,"Moleman, Jason M.","Liberal Democrat",349,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak",,"Nicholson, William J.","Conservative",522,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak","*","O-Macauley, Charlie E.","Labour",1836,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak",,"Poppy, Audrey   ","Green",329,,,,,,,,,,,,,
2,2,"Barnet",,"Burnt Oak",,"Sparrow, Patricia M.","Conservative",555,,,,,,,,,,,,,
2,3,"Barnet",,"Childs Hill",,"Angel, Michael E.","Conservative",1339,,,,,,,,,,,,,
