"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
1,1,"Barking and Dagenham",,"Abbey","*","Alexander, Jeannette L.","Labour",1376,,,,,,,,,,,,,
1,1,"Barking and Dagenham",,"Abbey","*","Fani, Mohammed A.R.","Labour",1275,,,,,,,,,,,,,
1,1,"Barking and Dagenham",,"Abbey","*","Bramley, Graham J.","Labour",1241,,,,,,,,,,,,,
1,1,"Barking and Dagenham",,"Abbey",,"Rahman, Foyzur   ","Conservative",765,,,,,,,,,,,,,
1,2,"Barking and Dagenham",,"Alibon","*","Bailey, Robert W.","British National Party",1329,,,,,,,,,,,,,
1,2,"Barking and Dagenham",,"Alibon","*","Doncaster, Claire L.","British National Party",1323,,,,,,,,,,,,,
1,2,"Barking and Dagenham",,"Alibon","*","Davis, John   ","Labour",1071,,,,,,,,,,,,,
1,2,"Barking and Dagenham",,"Alibon",,"Wade, Terence G.W.","Labour",1018,,,,,,,,,,,,,
1,2,"Barking and Dagenham",,"Alibon",,"Miles, David S.","Labour",957,,,,,,,,,,,,,
1,2,"Barking and Dagenham",,"Alibon",,"Whitson, Margaret   ","United Kingdom Independence Party",394,,,,,,,,,,,,,
1,2,"Barking and Dagenham",,"Alibon",,"East, Lucy C.","Conservative",393,,,,,,,,,,,,,
1,3,"Barking and Dagenham",,"Becontree","*","Agrawal, Alok K.","Labour",1268,,,,,,,,,,,,,
1,3,"Barking and Dagenham",,"Becontree","*","Carpenter, Evelyn   ","Labour",1240,,,,,,,,,,,,,
1,3,"Barking and Dagenham",,"Becontree","*","Obasohan, Emmanuel O.","Labour",1058,,,,,,,,,,,,,
1,3,"Barking and Dagenham",,"Becontree",,"Jordan, Daphne K.","United Kingdom Independence Party",749,,,,,,,,,,,,,
1,3,"Barking and Dagenham",,"Becontree",,"Barker, Claire L.","Conservative",653,,,,,,,,,,,,,
1,3,"Barking and Dagenham",,"Becontree",,"Barker, Malcolm B.","Conservative",607,,,,,,,,,,,,,
1,4,"Barking and Dagenham",,"Chadwell Heath","*","Baillie, Sarah J.","Labour",1101,,,,,,,,,,,,,
1,4,"Barking and Dagenham",,"Chadwell Heath","*","Smith, Nadine E.","Labour",999,,,,,,,,,,,,,
1,4,"Barking and Dagenham",,"Chadwell Heath","*","Carroll, Shaun   ","Labour",987,,,,,,,,,,,,,
1,4,"Barking and Dagenham",,"Chadwell Heath",,"Justice, Terence J.","Conservative",873,,,,,,,,,,,,,
1,4,"Barking and Dagenham",,"Chadwell Heath",,"Justice, Mary B.","Conservative",734,,,,,,,,,,,,,
1,4,"Barking and Dagenham",,"Chadwell Heath",,"Chytry, Sharron   ","Conservative",583,,,,,,,,,,,,,
1,4,"Barking and Dagenham",,"Chadwell Heath",,"Curtis, Ronald J.","Independent",560,,,,,,,,,,,,,
1,4,"Barking and Dagenham",,"Chadwell Heath",,"Tucker, Doreen G.M.","United Kingdom Independence Party",385,,,,,,,,,,,,,
