"CouncillorID","CllrFirstName","CllrSurname","CllrTwitter","CllrWebsite","Party","Council","Ward"
1,"Austin","Rathe","austinrathe",,"Liberal Democrat","Ashfield District Council","Hucknall West"
2,"Robert","Rams","athousandtrees","http://londonsays.org","Conservative","London Borough of Barnet","East Barnet"
3,"Mike","Freer","leaderlistens","http://leaderlistens.com","Conservative","London Borough of Barnet","Finchley Church End"
5,"Iain","Bowen","iainbhx","","Liberal Democrat","Birmingham City Council","Acocks Green"
6,"Simon","Cooke","simonmagus","","Conservative","Bradford Metropolitan District Council","Bingley Rural"
7,"Jason","Kitcat","jasonkitcat","http://www.jasonkitcat.com","Green Party","Brighton & Hove City Council","Regency"
8,"Richard","Robinson","drummerrich1","http://www.richardsrobinson.org","Labour","Broxtowe Borough Council",""
10,"Ben","Rawlings","benrawlings","http://www.canteloweslibdems.org.uk","Liberal Democrat","London Borough of Camden","Cantelowes"
11,"John","Dixon","cllrjohndixon","","Liberal Democrat","Cardiff City Council","Adamsdown"
12,"David","Morgan","davypaul","","Liberal Democrat","Cardiff City Council","Grangetown"
13,"Richard","Lowe","cllrrichardlowe","http://www.richard-lowe.co.uk","Conservative","Cheshire West and Chester Unitary Authority","City"
14,"Helen","Walsh","helenwalsh","http://liberalgirlsblogbest.blogspot.com","Liberal Democrat","Chesterfield Borough Council",""
15,"Richard","Alvin","ralvin","http://bmmagazine.co.uk","Unknown","Chigwell Town Council",""
16,"Nick","Barlow","nickjbarlow","http://www.nickbarlow.com","Liberal Democrat","Colchester Borough Council","Castle"
18,"Cliff","Roper","cllrcliffroper","http://cllrcliffroper.blogspot.com","BNP","Amber Valley Borough Council","Heanor East"
19,"Michelle","McIlveen","MMcIlveenMLA",,"DUP","Ards Borough Council","Newtownards Town"
21,"Dean","Upton","deanupton","http://www.deanupton.com","Unknown","Badger Farm Parish Council",""
22,"Luke","Mackenzie","cllrmackenzie","http://www.lukemackenzie.co.uk","Conservative","Basildon District Council","Vange"
23,"Steve","Houghton","cllrsteve","http://www.blackpool.gov.uk/Services/A-F/CouncillorsInformation/Councillors.htm?cid=52","Conservative","Blackpool Borough Council","Greenlands"
24,"Vicky","Wakefield-Jarrett","cllrvwj_hanover","","Green Party","Brighton & Hove City Council","Hanover & Elm"
25,"Ken","Norman","kennorman",,"Conservative","Brighton & Hove City Council","Withdean"
26,"Steven","Adams","stevenradams","http://www.stevenadams.co.uk","Conservative","Buckinghamshire County Council","Amersham and Chesham Bois"
27,"Paul","Rogan","rastrickcrusade","http://www.rogansblog.co.uk","English Democrats","Calderdale Metropolitan Borough Council","Rastrick"
28,"Alex","Perkins","alexcanterbury","http://www.cantlibdem.com","Liberal Democrat","Canterbury City Council","Wincheap"
30,"Simon","Hamilton","simonhamilton","http://www.simonhamilton.org","DUP","Ards Borough Council","Newtownards Town"
31,"Jon","Rogers","cllrjonrogers","http://www.bristol-libdems.org/ashley","Liberal Democrat","Bristol City Council","Ashley"
32,"Matt","Sanders","cllrmattsanders",,"Liberal Democrat","London Borough of Camden","Haverstock"
33,"Theo","Blackwell","cllrtheo",,"Labour","London Borough of Camden","Regent&#39;s Park"
34,"Norman","Ladzrie","hadleigh1",,"Conservative","Castle Point Borough Council","St James&#39;"
35,"Jewel","Miah","jewelmiah","http://www.charnwood.gov.uk/councillors/cllr_jewel_miah","Labour","Charnwood Borough Council","Loughborough Lemyngton"
39,"Lloyd","Harris","lloyd_harris","http://lloydharris.mycouncillor.org.uk","Liberal Democrat","Dacorum Borough Council","Highfield"
40,"Anthony","Martin","anthony119",,"Conservative","Dartford Borough Council","Sutton-at-Hone & Hawley"
41,"Paul","Hulbert","paulhulbert","http://www.localfocus.blogspot.com","Liberal Democrat","Dodington Parish Council",""
43,"Jon","Ball","jonball","http://www.jonball.org","Liberal Democrat","London Borough of Ealing","Ealing Common"
44,"Cameron","Rose","cameronrose","","Conservative","Edinburgh City Council","Southside/Newington"
45,"Gary","Fuller","garymarkfuller","http://www.shepwaylibdems.org.uk","Liberal Democrat","Folkestone Town Council","Harvey Central"
46,"Tim","Prater","timprater","http://www.prater.org.uk","Liberal Democrat","Folkestone Town Council","Cheriton"
46,"Tim","Prater","timprater","http://www.prater.org.uk","Liberal Democrat","Shepway District Council","Folkestone Cheriton"
46,"Tim","Prater","timprater","http://www.prater.org.uk","Liberal Democrat","Kent County Council","Folkestone West"
47,"Tom","McNeice","tommcneice",,"Liberal Democrat","Folkestone Town Council","Morehall"
47,"Tom","McNeice","tommcneice",,"Liberal Democrat","Shepway District Council","Morehall"
48,"Sean","Brady","formbyfirst","http://formbyfirst.typepad.com","Independent","Formby Parish Council",""
49,"Simon","Renwick","cllrsrenwick","http://www.simonrenwick.com","Conservative","Fylde Borough Council","Medlar with Westham"
50,"David","Dobbie","siberiant",,"Liberal Democrat","Gainsborough Town Council","North West"
51,"Roy","Poynter","raypoynter","http://thefutureplace.typepad.com","Liberal Democrat","Gedling Borough Council",""
52,"Andy","McMuir","mcmuir",,"Labour","Glasgow City Council","Ballieston"
53,"Kate","Haigh","katehaigh",,"Labour","Gloucester City Council","Matson and Robinswood"
54,"Matt","Cooke","mattcooke2012","","Labour","London Borough of Haringey","Bounds Green"
55,"Lee","Dangerfield","cllrdangerfield","http://cllrleedangerfield.blogspot.com","Conservative","Essex County Council","Harlow West"
55,"Lee","Dangerfield","cllrdangerfield","http://cllrleedangerfield.blogspot.com","Conservative","Harlow District Council","Staple Tye"
56,"Lorna","Spenceley","lornaspenceley",,"Liberal Democrat","Harlow District Council","Staple Tye"
57,"Clarence","Barrett","clarenceb",,"Residents Association","London Borough of Havering","Cranham"
58,"Andy","Mann","cllrandymann",,"Residents Association","London Borough of Havering","Havering Park"
59,"Chris","White","chriswhite17",,"Liberal Democrat","St Albans District Council","Clarence"
59,"Chris","White","chriswhite17",,"Liberal Democrat","Hertfordshire County Council","St Albans Central"
60,"Anthony","Mckeown","anthonymckeown","http://www.anthonymckeown.info","Labour","High Peak Borough Council","Gamesley"
61,"Jean","Wharmby","cllr_jean",,"Conservative","High Peak Borough Council","Dinting"
62,"Mark","Gadd","markgadd",,"Conservative","High Peak Borough Council","Leigh"
62,"Mark","Gadd","markgadd",,"Conservative","New Mills Town Council","Ollerset"
63,"Nicholas","Butler","loudmouthman","http://www.loudmouthman.com","Unknown","North Horsham Parish Council",""
64,"Andrew","Dakers","andrewdakers","http://andrewdakers.ning.com","Liberal Democrat","London Borough of Hounslow",""
65,"Paul","Fisher","cllrpaulfisher",,"Isleworth Community Group","London Borough of Hounslow","Isleworth"
66,"Alasdair","Ross","alasdairross","http://www.alasdairross.blogspot.com","Labour","Ipswich Borough Council","Rushmere"
67,"MJ","Ray","mjray","http://mjr.towers.org.uk","Independent","Kewstoke Parish Council",""
68,"D","Smithson","spinner59","http://www.cllrdsmithson.co.uk","Liberal Democrat","Knowsley Metropolitan Borough Council","Halewood North"
69,"Clapham Town Ward Labour","Councillors","clapham","http://claphamtown.wordpress.com","Labour","London Borough of Lambeth","Clapham Town"
70,"Pete","Robbins","cllr_robbins","http://www.welovelarkhall.com","Labour","London Borough of Lambeth","Larkhall"
71,"Mark","Bennett","cllrmarkbennett",,"Labour","London Borough of Lambeth","Steatham South"
72,"Christopher","Wellbelove","mayoroflambeth","http://cllrwellbelove.wordpress.com","Labour","London Borough of Lambeth","Clapham Town"
73,"John","Kazantzis","jkazantzis",,"Labour","London Borough of Lambeth","Streatham South"
74,"Stockwell Labour","Councillors","labourstockwell","http://www.standupforstockwell","Labour","London Borough of Lambeth","Stockwell"
75,"Conservative Group","Councillors","lambethnews","http://www.lambethconservatives.com","Conservative","London Borough of Lambeth",""
76,"Imogen","Walker","imogenwalker","","Labour","London Borough of Lambeth","Stockwell"
77,"Toren","Smith","tulsehill",,"Labour","London Borough of Lambeth","Tulse Hill"
78,"Larkhall Ward Labour","Councillors","welovelarkhall","http://www.welovelarkhall.com","Labour","London Borough of Lambeth","Larkhall"
79,"Ross","Grant","rossigrant","http://www.leicesterpolitics.blogspot.com","Conservative","Leicester City Council","Knighton"
80,"Kevin","Feltham","kevin_feltham","http://www.gartree.org.uk","Conservative","Leicestershire County Council","Gartree"
81,"Andrew","Milton","andrewmilton","http://andrewmilton.easyjournal.com","Liberal Democrat","London Borough of Lewisham","Lewisham Central"
82,"Susan","Luxton","greenladywell","http://greenladywell.blogspot.com","Green Party","London Borough of Lewisham","Ladywell"
83,"Jenni","Clutten","cllrjc","","Liberal Democrat","London Borough of Lewisham","Downham"
85,"Carla","Butler","carlabutler",,"Liberal Democrat","Lewes District Council","Newhaven Denton and Beeching"
86,"Ian","Eiloart","ianeiloart","http://ianeiloart.blogspot.com","Liberal Democrat","Lewes District Council","Lewes, Priory"
87,"John","Williams","jwinlickey","http://blog.jocenjohn.com","Unknown","Lickey & Blackwell Parish Council",""
88,"Erica","Kemp","cllrekemp",,"Liberal Democrat","Liverpool City Council","Church"
89,"Richard","Kemp","cllrkemp",,"Liberal Democrat","Liverpool City Council","Church"
90,"Louise","Baldock","louisebaldock",,"Labour","Liverpool City Council","Kensington and Fairfield"
