Aberdeen City Council,00QA
Barnsley Borough Council,00CC
Bath & North East Somerset Council,00HA
Bradford Metropolitan Council,00CX
Brighton and Hove City Council,00ML
Bristol City Council,00HB
Buckinghamshire County Council,11
Burnley Borough Council,30UD
Cambridge City Council,12UB
Cardiff Council,00PT
Cheshire East,00EQ
City & County of Swansea,00NX
City of Edinburgh,00QP
City of York,00FF
Cotswold District Council,23UC
Coventry City Council,00CQ
Crawley Borough Council,45UE
Derby City Council,00FK
North East Derbyshire,17UJ
Eastleigh Borough Council,24UD
Epping Forest District Council,22UH
Epsom & Ewell Borough Council,43UC
Exeter City,18UC
Fylde,30UF
Gateshead Metropolitan Borough Council,00CH
Gloucester City Council,23UE
Gloucestershire County Council,23
Halton Borough Council,00ET
Hartlepool Borough Council,00EB
Hastings Borough Council,21UD
Havant District Council,24UH
Hull City Council,00FA
Huntingdonshire District Council,12UE
Ipswich Borough Council,42UD
Kirklees Metropolitan Borough Council,00CZ
Knowsley Metropolitan Borough,00BX
Lancaster City Council,30UH
Leicester City Council,00FN
Liverpool City Council,00BY
London Borough of Brent,00AE
London Borough of Camden,00AG
London Borough of Greenwich,00AL
London Borough of Hackney,00AM
London Borough of Haringey,00AP
London Borough of Hounslow,00AT
London Borough of Islington,00AU
London Borough of Lambeth,00AY
London Borough of Lewisham,00AZ
London Borough of Merton,00BA
London Borough of Newham,00BB
London Borough of Southwark,00BE
London Borough of Sutton,00BF
London Borough of Waltham Forest,00BH
Luton Borough Council,00KA
Manchester City Council,00BN
Milton Keynes Council,00MG
Mole Valley Council,43UE
Newcastle upon Tyne City Council,00CJ
Norfolk County Council,33
North Somerset Council,00HC
Northampton Borough Council,34UF
Nottingham City Council,00FY
Oldham Metropolitan Borough Council,00BP
South Oxfordshire District Council,38UD
Pendle,30UJ
Portsmouth City Council,00MR
Reading Borough Council,00MC
Redcar and Cleveland,00EE
Rhondda Cynon Taff County Borough Council,00PF
Ribble Valley Borough Council,30UL
Richmond upon Thames,00BD
Rochdale Metropolitan Borough Council,00BQ
Rotherham Metropolitan Borough Council,00CF
Royal Borough of Kingston upon Thames,00AX
Royal Borough of Windsor and Maidenhead,00ME
Salford City Council,00BR
Sheffield Council,00CG
Slough Borough Council,00MD
Solihull Metropolitan Borough Council,00CT
South Somerset District Council,40UD
South Gloucestershire District Council,00HD
South Tyneside Metropolitan Borough Council,00CL
Southampton City Council,00MS
Stevenage Borough Council,26UH
Stockport Metropolitan Borough Council,00BS
Stockton-on-Tees Borough Council,00EF
Stoke-on-Trent City Council,00GL
Stroud District Council,23UF
Suffolk County Council,42
Tameside Metropolitan Borough Council,00BT
Taunton Deane Borough Council,40UE
Teignbridge District Council,18UH
Torbay Council,00HH
Torridge District Council,18UK
Warrington Council,00EU
Warwickshire County Council,44
Watford,26UK
West Somerset,40UF
West Sussex County Council,45
Wigan Metropolitan Borough,00BW
Wiltshire Council,00HY
Wirral Metropolitan Borough,00CB
Wolverhampton Metropolitan Borough Council,00CW
