LA,,Code,Persons All Ages,,Persons 0,,Persons 1-4,,Persons 5-9,,Persons 10-14,,Persons 15-19,,Persons 20-24,,Persons 25-29,,Persons 30-34,,Persons 35-39,,Persons 40-44,,Persons 45-49,,Persons 50-54,,Persons 55-59,,Persons 60-64,,Persons 65-69,,Persons 70-74,,Persons 75-79,,Persons 80-84,,"Persons 85-89 / 85+ 1,2",,Persons 90+ 1,,,,,
  City of London,,00AA,7.9,,0.0,,0.2,,0.2,,0.2,,0.2,,0.5,,0.9,,0.9,,0.8,,0.7,,0.5,,0.6,,0.6,,0.6,,0.3,,0.2,,0.2,,0.2,,0.1,,0.1,,,,,
  Barking and Dagenham,,00AB,168.9,,3.5,,12.2,,11.6,,11.9,,11.4,,12.3,,12.9,,12.2,,13.1,,13.5,,11.1,,8.7,,7.6,,6.8,,4.9,,4.5,,4.3,,3.4,,2.3,,0.9,,,,,
  Barnet,,00AC,331.5,,5.2,,18.3,,20.3,,20.1,,19.1,,20.7,,25.5,,26.8,,27.0,,26.8,,22.8,,19.3,,17.6,,15.9,,11.6,,10.6,,9.4,,7.1,,4.6,,2.8,,,,,
  Bexley,,00AD,223.3,,3.1,,11.2,,13.2,,14.4,,15.3,,13.7,,13.3,,13.5,,16.0,,18.1,,16.8,,13.9,,12.5,,12.5,,9.4,,8.7,,7.4,,5.5,,3.5,,1.3,,,,,
  Brent,,00AE,270.6,,4.7,,15.7,,14.4,,13.6,,15.2,,21.0,,27.4,,26.1,,22.4,,21.4,,18.5,,15.0,,12.6,,10.4,,9.3,,8.5,,6.6,,4.2,,2.4,,1.4,,,,,
  Bromley,,00AF,302.6,,4.1,,15.1,,18.3,,18.6,,18.2,,15.5,,17.7,,20.1,,23.5,,26.0,,22.6,,18.4,,17.1,,17.4,,12.6,,11.4,,10.6,,7.9,,5.2,,2.5,,,,,
  Camden,,00AG,235.7,,2.9,,10.4,,11.1,,9.6,,11.4,,22.3,,32.2,,31.9,,22.7,,18.0,,13.6,,10.7,,9.5,,8.5,,6.1,,4.9,,4.2,,3.1,,1.8,,0.8,,,,,
  Croydon,,00AH,341.8,,5.4,,18.6,,20.7,,21.7,,22.4,,22.0,,24.0,,25.0,,27.1,,29.1,,26.4,,21.2,,17.8,,16.5,,12.3,,10.7,,8.6,,6.4,,4.1,,2.0,,,,,
  Ealing,,00AJ,309.0,,5.5,,17.6,,16.7,,16.0,,16.8,,22.1,,29.9,,30.9,,27.6,,25.6,,20.8,,17.4,,15.0,,12.3,,9.7,,8.7,,6.5,,5.2,,3.3,,1.6,,,,,
  Enfield,,00AK,287.6,,4.9,,17.3,,18.1,,17.6,,18.1,,18.6,,21.1,,20.5,,22.4,,24.7,,21.5,,17.0,,14.4,,13.1,,10.3,,9.3,,7.7,,5.6,,3.4,,1.9,,,,,
  Greenwich,,00AL,222.9,,4.2,,14.3,,13.5,,12.5,,13.4,,16.4,,19.3,,19.5,,19.3,,18.0,,15.1,,12.1,,10.0,,9.4,,6.8,,6.0,,5.1,,4.0,,2.7,,1.3,,,,,
  Hackney,,00AM,212.2,,4.2,,14.7,,13.4,,11.7,,12.1,,16.0,,23.7,,22.8,,19.6,,17.5,,13.7,,10.2,,8.1,,6.4,,5.1,,4.6,,3.4,,2.6,,1.6,,0.9,,,,,
  Hammersmith and Fulham,,00AN,172.2,,2.6,,8.7,,8.4,,7.3,,7.5,,14.0,,21.5,,22.7,,17.3,,13.5,,10.3,,8.2,,6.9,,6.1,,4.9,,4.2,,3.4,,2.5,,1.8,,0.8,,,,,
  Haringey,,00AP,226.2,,4.2,,13.9,,12.7,,11.2,,12.2,,16.3,,24.3,,24.9,,21.8,,20.0,,15.6,,11.3,,9.3,,7.8,,6.2,,5.6,,4.3,,2.6,,1.5,,0.9,,,,,
  Harrow,,00AQ,216.2,,3.2,,11.6,,12.2,,12.7,,14.7,,13.3,,15.8,,16.5,,16.5,,16.8,,15.5,,13.8,,12.0,,10.7,,8.3,,7.6,,6.1,,4.5,,2.9,,1.5,,,,,
