WD09CD,WD09NM,UA09CD,UA09NM
00EJPA,Seaham,00EJ,County Durham
00EJMR,Chilton,00EJ,County Durham
00EJMD,Aycliffe West,00EJ,County Durham
00EJMC,Aycliffe North,00EJ,County Durham
00EJMB,Aycliffe East,00EJ,County Durham
00EJPR,Wingate,00EJ,County Durham
00EJMZ,Dawdon,00EJ,County Durham
00EJPF,Shotton,00EJ,County Durham
00EJPD,Shildon East,00EJ,County Durham
00EJNY,Peterlee West,00EJ,County Durham
00EJNX,Peterlee East,00EJ,County Durham
00EJNR,Murton,00EJ,County Durham
00EJNM,Horden,00EJ,County Durham
00EJNE,Easington,00EJ,County Durham
00EJNC,Deneside,00EJ,County Durham
00EJPK,Thornley,00EJ,County Durham
00EJMN,Chester-le-Street North and East,00EJ,County Durham
00EJPS,Woodhouse Close,00EJ,County Durham
00EJPQ,Willington,00EJ,County Durham
00EJPP,West Auckland,00EJ,County Durham
00EJPN,Weardale,00EJ,County Durham
00EJMY,Crook South,00EJ,County Durham
00EJMX,Crook North and Tow Law,00EJ,County Durham
00EJNJ,Ferryhill,00EJ,County Durham
00EJMJ,Bishop Auckland Town,00EJ,County Durham
00EJPB,Sedgefield,00EJ,County Durham
00EJNH,Evenwood,00EJ,County Durham
00EJMF,Barnard Castle West,00EJ,County Durham
00EJME,Barnard Castle East,00EJ,County Durham
00EJPM,Tudhoe,00EJ,County Durham
00EJPG,Spennymoor and Middlestone,00EJ,County Durham
00EJPE,Shildon West,00EJ,County Durham
00EJMT,Coundon,00EJ,County Durham
00EJNZ,Sacriston,00EJ,County Durham
00EJMP,Chester-le-Street South,00EJ,County Durham
00EJMQ,Chester-le-Street West Central,00EJ,County Durham
00EJNQ,Lumley,00EJ,County Durham
00EJNU,Ouston and Urpeth,00EJ,County Durham
00EJPL,Trimdon,00EJ,County Durham
00EJMK,Blackhalls,00EJ,County Durham
00EJNW,Pelton,00EJ,County Durham
00EJMA,Annfield Plain,00EJ,County Durham
00EJMH,Benfieldside,00EJ,County Durham
00EJMM,Burnopfield and Dipton,00EJ,County Durham
00EJMS,Consett North,00EJ,County Durham
00EJMW,Craghead and South Moor,00EJ,County Durham
00EJNB,Delves Lane and Consett South,00EJ,County Durham
00EJNG,Esh,00EJ,County Durham
00EJND,Durham South,00EJ,County Durham
00EJNF,Elvet,00EJ,County Durham
00EJNN,Lanchester,00EJ,County Durham
00EJNK,Framwellgate Moor,00EJ,County Durham
00EJNS,Neville's Cross,00EJ,County Durham
00EJNT,Newton Hall,00EJ,County Durham
00EJNA,Deerness Valley,00EJ,County Durham
00EJMU,Coxhoe,00EJ,County Durham
00EJPH,Stanley,00EJ,County Durham
00EJPC,Sherburn,00EJ,County Durham
00EJMG,Belmont,00EJ,County Durham
00EJNP,Leadgate and Medomsley,00EJ,County Durham
00EJPJ,Tanfield,00EJ,County Durham
00EJML,Brandon,00EJ,County Durham
00EJNL,Gilesgate,00EJ,County Durham
00EMNE,Hartley,00EM,Northumberland
00EMNC,Croft,00EM,Northumberland
00EMNB,Cramlington West,00EM,Northumberland
00EMPH,Prudhoe East,00EM,Northumberland
00EMMZ,Cramlington South East,00EM,Northumberland
00EMPN,Shilbottle,00EM,Northumberland
00EMPF,Ponteland South with Heddon,00EM,Northumberland
00EMPC,Plessey,00EM,Northumberland
00EMNA,Cramlington Village,00EM,Northumberland
00EMNM,Holywell,00EM,Northumberland
00EMNU,Morpeth Kirkhill,00EM,Northumberland
00EMMK,Berwick East,00EM,Northumberland
00EMMY,Cramlington North,00EM,Northumberland
00EMPM,Seghill with Seaton Delaval,00EM,Northumberland
00EMPQ,South Blyth,00EM,Northumberland
00EMPW,Wensleydale,00EM,Northumberland
00EMMQ,Chevington with Longhorseley,00EM,Northumberland
00EMPG,Ponteland West,00EM,Northumberland
00EMPB,Pegswood,00EM,Northumberland
00EMNZ,Newsham,00EM,Northumberland
00EMNP,Isabella,00EM,Northumberland
00EMNQ,Kitty Brewster,00EM,Northumberland
00EMPD,Ponteland East,00EM,Northumberland
00EMPR,South Tynedale,00EM,Northumberland
00EMMB,Amble,00EM,Northumberland
00EMNX,Morpeth Stobhill,00EM,Northumberland
00EMMT,Corbridge,00EM,Northumberland
00EMND,Haltwhistle,00EM,Northumberland
00EMNG,Haydon and Hadrian,00EM,Northumberland
00EMNH,Hexham Central with Acomb,00EM,Northumberland
00EMNJ,Hexham East,00EM,Northumberland
00EMPU,Ulgham,00EM,Northumberland
00EMPJ,Prudhoe West,00EM,Northumberland
00EMNN,Humshaugh,00EM,Northumberland
00EMMH,Bedlington West,00EM,Northumberland
00EMMP,Bywell,00EM,Northumberland
00EMPP,Sleekburn,00EM,Northumberland
00EMPL,Seaton with Newbiggin West,00EM,Northumberland
00EMNY,Newbiggin Central and East,00EM,Northumberland
00EMNL,Hirst,00EM,Northumberland
00EMNF,Haydon,00EM,Northumberland
00EMMS,College,00EM,Northumberland
00EMMJ,Bellingham,00EM,Northumberland
00EMNK,Hexham West,00EM,Northumberland
00EMPT,Stocksfield and Broomhaugh,00EM,Northumberland
