"Code","LAD","Subgroups"
"00AA","Westminster, City of London","3.5.8"
"00AB","Barking and Dagenham","1.2.3"
"00AC","Barnet","2.4.6"
"00AD","Bexley","5.8.15"
"00AE","Brent","4.6.11"
"00AF","Bromley","1.3.5"
"00AG","Camden","3.5.8"
"00AH","Croydon","2.4.7"
"00AJ","Ealing","2.4.6"
"00AK","Enfield","2.4.7"
"00AL","Greenwich","2.4.7"
"00AM","Hackney","4.6.10"
"00AN","Hammersmith and Fulham","3.5.8"
"00AP","Haringey","4.6.10"
"00AQ","Harrow","2.4.6"
"00AR","Havering","5.8.15"
"00AS","Hillingdon","1.3.5"
"00AT","Hounslow","2.4.6"
"00AU","Islington","3.5.8"
"00AW","Kensington and Chelsea","3.5.8"
"00AX","Kingston upon Thames","1.3.5"
"00AY","Lambeth","4.6.10"
"00AZ","Lewisham","4.6.10"
"00BA","Merton","2.4.6"
"00BB","Newham","4.6.11"
"00BC","Redbridge","2.4.6"
"00BD","Richmond upon Thames","1.3.5"
"00BE","Southwark","4.6.10"
"00BF","Sutton","1.3.5"
"00BG","Tower Hamlets","3.5.9"
"00BH","Waltham Forest","2.4.7"
"00BJ","Wandsworth","3.5.8"
"00BL","Bolton","1.2.2"
"00BM","Bury","5.7.12"
"00BN","Manchester","1.2.3"
"00BP","Oldham","1.2.2"
"00BQ","Rochdale","1.2.2"
"00BR","Salford","1.1.1"
"00BS","Stockport","5.7.12"
"00BT","Tameside","7.11.20"
"00BU","Trafford","5.7.12"
"00BW","Wigan","7.12.22"
"00BX","Knowsley","7.11.20"
"00BY","Liverpool","1.1.1"
"00BZ","St. Helens","7.11.20"
"00CA","Sefton","7.11.20"
"00CB","Wirral","7.11.20"
"00CC","Barnsley","7.12.22"
"00CE","Doncaster","7.12.22"
"00CF","Rotherham","7.12.22"
"00CG","Sheffield","1.1.1"
"00CH","Gateshead","7.11.20"
"00CJ","Newcastle upon Tyne","1.1.1"
"00CK","North Tyneside","7.11.21"
"00CL","South Tyneside","7.11.20"
"00CM","Sunderland","7.11.20"
"00CN","Birmingham","1.2.3"
"00CQ","Coventry","1.2.2"
"00CR","Dudley","7.12.22"
"00CS","Sandwell","1.2.3"
"00CT","Solihull","5.7.12"
"00CU","Walsall","1.2.2"
"00CW","Wolverhampton","1.2.3"
"00CX","Bradford","1.2.2"
"00CY","Calderdale","1.2.2"
"00CZ","Kirklees","1.2.2"
"00DA","Leeds","1.1.1"
"00DB","Wakefield","7.12.22"
"00EB","Hartlepool","7.11.20"
"00EC","Middlesbrough","7.11.20"
"00EE","Redcar and Cleveland","7.11.20"
"00EF","Stockton-on-Tees","7.12.22"
"00EH","Darlington","7.11.20"
"00EJ","County Durham","7.11.20"
"00EM","Northumberland","5.7.13"
"00EQ","Cheshire East","5.7.13"
"00ET","Halton","7.11.20"
"00EU","Warrington","5.7.14"
"00EW","Cheshire West and Chester","5.7.12"
"00EX","Blackburn with Darwen","1.2.2"
"00EY","Blackpool","6.10.18"
"00FA","Kingston upon Hull, City of","7.11.20"
"00FB","East Riding of Yorkshire","5.7.13"
"00FC","North East Lincolnshire","7.12.22"
"00FD","North Lincolnshire","7.12.22"
"00FF","York","5.7.12"
"00FK","Derby","1.2.2"
"00FN","Leicester","1.2.3"
"00FP","Rutland","5.7.13"
"00FY","Nottingham","1.2.3"
"00GA","Herefordshire, County of","5.7.13"
"00GF","Telford and Wrekin","7.12.22"
"00GG","Shropshire","5.7.13"
"00GL","Stoke-on-Trent","7.11.20"
"00HA","Bath and North East Somerset","5.7.12"
"00HB","Bristol, City of","1.1.1"
"00HC","North Somerset","5.7.13"
"00HD","South Gloucestershire","5.7.14"
"00HE","Cornwall, Isles of Scilly","6.10.18"
"00HG","Plymouth","1.1.1"
"00HH","Torbay","6.10.18"
"00HN","Bournemouth","1.1.1"
"00HP","Poole","5.7.12"
"00HX","Swindon","5.8.15"
"00HY","Wiltshire","5.7.14"
"00JA","Peterborough","5.8.15"
"00KA","Luton","2.4.6"
"00KB","Bedford","5.8.15"
"00KC","Central Bedfordshire","5.7.14"
"00KF","Southend-on-Sea","1.1.1"
"00KG","Thurrock","5.8.15"
"00LC","Medway","5.8.15"
"00MA","Bracknell Forest","5.9.16"
"00MB","West Berkshire","5.9.16"
"00MC","Reading","1.3.5"
"00MD","Slough","2.4.6"
"00ME","Windsor and Maidenhead","5.9.16"
"00MF","Wokingham","5.9.16"
"00MG","Milton Keynes","5.8.15"
"00ML","Brighton and Hove","1.1.1"
"00MR","Portsmouth","1.1.1"
"00MS","Southampton","1.1.1"
"00MW","Isle of Wight","6.10.18"
"00NA","Isle of Anglesey","6.10.18"
"00NC","Gwynedd","6.10.18"
"00NE","Conwy","6.10.18"
"00NG","Denbighshire","6.10.18"
"00NJ","Flintshire","7.12.22"
"00NL","Wrexham Maelor","7.12.22"
"00NN","Powys","6.10.17"
"00NQ","Ceredigion","6.10.17"
"00NS","Pembrokeshire","6.10.18"
"00NU","Carmarthenshire","6.10.18"
"00NX","Swansea","7.11.20"
"00NZ","Neath Port Talbot","7.11.20"
"00PB","Bridgend","7.12.22"
"00PD","Vale of Glamorgan","5.7.12"
"00PF","Rhondda Cynon Taff","7.11.20"
"00PH","Merthyr Tydfil","7.11.20"
"00PK","Caerphilly","7.11.20"
"00PL","Blaenau Gwent","7.11.20"
"00PM","Torfaen","7.11.20"
"00PP","Monmouth","5.7.13"
"00PR","Newport","7.11.20"
"00PT","Cardiff","1.1.1"
"00QA","Aberdeen City","1.1.1"
"00QB","Aberdeenshire","6.10.19"
"00QC","Angus","6.10.19"
"00QD","Argyll & Bute","6.10.19"
"00QE","Scottish Borders","6.10.19"
"00QF","Clackmannanshire","7.11.21"
"00QG","West Dunbartonshire","7.11.21"
