"Wardcode","Wardname","Subgroup"
"00AAFA","Aldersgate","4.6.9"
"00AAFQ","Cripplegate","4.6.9"
"00AAFT","Farringdon Without","4.6.10"
"00AAFX","Portsoken","6.9.15"
"00ABFX","Abbey","6.9.15"
"00ABFY","Alibon","2.3.4"
"00ABFZ","Becontree","7.12.20"
"00ABGA","Chadwell Heath","7.12.20"
"00ABGB","Eastbrook","7.12.20"
"00ABGC","Eastbury","7.12.20"
"00ABGD","Gascoigne","6.9.15"
"00ABGE","Goresbrook","2.3.4"
"00ABGF","Heath","2.3.4"
"00ABGG","Longbridge","7.12.20"
"00ABGH","Mayesbrook","2.3.4"
"00ABGJ","Parsloes","2.3.4"
"00ABGK","River","1.2.3"
"00ABGL","Thames","2.3.4"
"00ABGM","Valence","2.3.4"
"00ABGN","Village","7.12.20"
"00ABGP","Whalebone","7.12.20"
"00ACFX","Brunswick Park","7.12.20"
"00ACFY","Burnt Oak","6.8.14"
"00ACFZ","Childs Hill","4.6.9"
"00ACGA","Colindale","6.9.15"
"00ACGB","Coppetts","4.6.9"
"00ACGC","East Barnet","7.12.20"
"00ACGD","East Finchley","4.6.9"
"00ACGE","Edgware","7.12.20"
"00ACGF","Finchley Church End","4.6.9"
"00ACGG","Garden Suburb","4.6.9"
"00ACGH","Golders Green","7.12.20"
"00ACGJ","Hale","7.12.20"
"00ACGK","Hendon","4.6.9"
"00ACGL","High Barnet","7.12.20"
"00ACGM","Mill Hill","7.12.20"
"00ACGN","Oakleigh","7.12.20"
"00ACGP","Totteridge","7.12.20"
"00ACGQ","Underhill","7.12.20"
"00ACGR","West Finchley","4.6.9"
"00ACGS","West Hendon","6.8.14"
"00ACGT","Woodhouse","7.12.20"
"00ADGA","Barnehurst","7.12.20"
"00ADGB","Belvedere","7.12.20"
"00ADGC","Blackfen and Lamorbey","7.12.20"
"00ADGD","Blendon and Penhill","7.12.20"
"00ADGE","Brampton","7.12.20"
"00ADGF","Christchurch","7.12.20"
"00ADGG","Colyers","7.12.20"
"00ADGH","Crayford","7.12.20"
"00ADGJ","Cray Meadows","7.12.20"
"00ADGK","Danson Park","7.12.20"
"00ADGL","East Wickham","7.12.20"
"00ADGM","Erith","7.12.20"
"00ADGN","Falconwood and Welling","7.12.20"
"00ADGP","Lesnes Abbey","7.12.20"
"00ADGQ","Longlands","7.12.20"
"00ADGR","North End","1.2.3"
"00ADGS","Northumberland Heath","7.12.20"
"00ADGT","St Mary's","7.12.19"
"00ADGU","St Michael's","7.12.20"
"00ADGW","Sidcup","7.12.20"
"00ADGX","Thamesmead East","6.9.15"
"00AEGJ","Alperton","6.8.14"
"00AEGK","Barnhill","6.8.14"
"00AEGL","Brondesbury Park","4.6.9"
"00AEGM","Dollis Hill","6.8.14"
"00AEGN","Dudden Hill","6.9.15"
"00AEGP","Fryent","6.8.14"
"00AEGQ","Harlesden","6.9.15"
"00AEGR","Kensal Green","6.9.15"
"00AEGS","Kenton","7.12.20"
"00AEGT","Kilburn","6.9.15"
"00AEGU","Mapesbury","4.6.9"
"00AEGW","Northwick Park","7.12.20"
"00AEGX","Preston","6.8.14"
"00AEGY","Queens Park","4.6.9"
"00AEGZ","Queensbury","6.8.14"
"00AEHA","Stonebridge","6.9.15"
"00AEHB","Sudbury","6.8.14"
"00AEHC","Tokyngton","6.8.14"
"00AEHD","Welsh Harp","6.8.14"
"00AEHE","Wembley Central","6.8.14"
"00AEHF","Willesden Green","6.9.15"
"00AFGD","Bickley","7.12.19"
"00AFGE","Biggin Hill","7.10.16"
"00AFGF","Bromley Common and Keston","7.12.20"
"00AFGG","Bromley Town","7.12.20"
"00AFGH","Chelsfield and Pratts Bottom","7.12.19"
"00AFGJ","Chislehurst","7.12.19"
"00AFGK","Clock House","7.12.20"
"00AFGL","Copers Cope","4.6.9"
"00AFGM","Cray Valley East","7.12.20"
"00AFGN","Cray Valley West","7.12.20"
"00AFGP","Crystal Palace","6.9.15"
"00AFGQ","Darwin","9.17.26"
"00AFGR","Farnborough and Crofton","7.12.19"
"00AFGS","Hayes and Coney Hall","7.12.19"
"00AFGT","Kelsey and Eden Park","7.12.20"
"00AFGU","Mottingham and Chislehurst North","7.12.20"
"00AFGW","Orpington","7.12.20"
"00AFGX","Penge and Cator","6.9.15"
"00AFGY","Petts Wood and Knoll","7.12.19"
"00AFGZ","Plaistow and Sundridge","7.12.20"
"00AFHA","Shortlands","7.12.19"
"00AFHB","West Wickham","7.12.19"
"00AGGD","Belsize","4.6.9"
"00AGGE","Bloomsbury","4.6.10"
"00AGGF","Camden Town with Primrose Hill","4.6.9"
"00AGGG","Cantelowes","6.9.15"
"00AGGH","Fortune Green","4.6.9"
"00AGGJ","Frognal and Fitzjohns","4.6.9"
"00AGGK","Gospel Oak","6.9.15"
"00AGGL","Hampstead Town","4.6.9"
"00AGGM","Haverstock","6.9.15"
"00AGGN","Highgate","4.6.9"
"00AGGP","Holborn and Covent Garden","4.6.9"
"00AGGQ","Kentish Town","6.9.15"
"00AGGR","Kilburn","6.9.15"
"00AGGS","King's Cross","6.9.15"
"00AGGT","Regent's Park","6.9.15"
"00AGGU","St Pancras and Somers Town","6.9.15"
"00AGGW","Swiss Cottage","4.6.9"
"00AGGX","West Hampstead","4.6.9"
"00AHGE","Addiscombe","4.6.9"
"00AHGF","Ashburton","7.12.20"
"00AHGG","Bensham Manor","6.8.14"
"00AHGH","Broad Green","6.8.14"
"00AHGJ","Coulsdon East","7.12.19"
"00AHGK","Coulsdon West","7.12.19"
"00AHGL","Croham","4.6.9"
"00AHGM","Fairfield","4.6.9"
"00AHGN","Fieldway","2.3.4"
"00AHGP","Heathfield","7.12.20"
"00AHGQ","Kenley","7.12.19"
"00AHGR","New Addington","1.2.3"
"00AHGS","Norbury","7.12.20"
"00AHGT","Purley","7.12.20"
"00AHGU","Sanderstead","7.12.19"
"00AHGW","Selhurst","6.9.15"
"00AHGX","Selsdon and Ballards","7.12.19"
"00AHGY","Shirley","7.12.20"
"00AHGZ","South Norwood","6.9.15"
"00AHHA","Thornton Heath","6.9.15"
"00AHHB","Upper Norwood","7.12.20"
"00AHHC","Waddon","7.12.20"
"00AHHD","West Thornton","6.8.14"
"00AHHE","Woodside","6.9.15"
"00AJGC","Acton Central","4.6.9"
"00AJGD","Cleveland","4.6.9"
"00AJGE","Dormers Wells","6.8.14"
"00AJGF","Ealing Broadway","4.6.9"
"00AJGG","Ealing Common","4.6.9"
"00AJGH","East Acton","6.9.15"
"00AJGJ","Elthorne","4.6.9"
"00AJGK","Greenford Broadway","7.12.20"
"00AJGL","Greenford Green","7.12.20"
"00AJGM","Hanger Hill","4.6.9"
"00AJGN","Hobbayne","7.12.20"
"00AJGP","Lady Margaret","6.8.14"
"00AJGQ","Northfield","4.6.9"
"00AJGR","North Greenford","6.8.14"
"00AJGS","Northolt Mandeville","7.12.20"
"00AJGT","Northolt West End","7.12.20"
"00AJGU","Norwood Green","6.8.14"
"00AJGW","Perivale","6.8.14"
"00AJGX","South Acton","6.9.15"
"00AJGY","Southall Broadway","6.8.14"
"00AJGZ","Southall Green","6.8.14"
"00AJHA","Southfield","4.6.9"
"00AJHB","Walpole","4.6.9"
"00AKGL","Bowes","4.6.9"
"00AKGM","Bush Hill Park","7.12.20"
"00AKGN","Chase","7.12.20"
"00AKGP","Cockfosters","7.12.20"
"00AKGQ","Edmonton Green","6.9.15"
"00AKGR","Enfield Highway","7.12.20"
"00AKGS","Enfield Lock","7.12.20"
"00AKGT","Grange","7.12.20"
"00AKGU","Haselbury","6.8.14"
"00AKGW","Highlands","7.12.20"
"00AKGX","Jubilee","7.12.20"
"00AKGY","Lower Edmonton","6.8.14"
"00AKGZ","Palmers Green","7.12.20"
"00AKHA","Ponders End","6.8.14"
"00AKHB","Southbury","7.12.20"
"00AKHC","Southgate","7.12.20"
"00AKHD","Southgate Green","7.12.20"
"00AKHE","Town","7.12.20"
"00AKHF","Turkey Street","7.12.20"
"00AKHG","Upper Edmonton","6.8.14"
"00AKHH","Winchmore Hill","7.12.20"
"00ALGP","Abbey Wood","2.3.4"
"00ALGQ","Blackheath Westcombe","4.6.9"
"00ALGR","Charlton","6.9.15"
"00ALGS","Coldharbour and New Eltham","7.12.20"
"00ALGT","Eltham North","7.12.20"
"00ALGU","Eltham South","7.12.20"
"00ALGW","Eltham West","2.3.4"
"00ALGX","Glyndon","6.9.15"
"00ALGY","Greenwich West","4.6.9"
"00ALGZ","Kidbrooke with Hornfair","7.12.20"
"00ALHA","Middle Park and Sutcliffe","7.12.20"
"00ALHB","Peninsula","6.9.15"
"00ALHC","Plumstead","6.8.14"
"00ALHD","Shooters Hill","7.12.20"
"00ALHE","Thamesmead Moorings","6.9.15"
"00ALHF","Woolwich Common","6.9.15"
"00ALHG","Woolwich Riverside","6.9.15"
"00AMGA","Brownswood","6.9.15"
"00AMGB","Cazenove","6.9.15"
"00AMGC","Chatham","6.9.15"
"00AMGD","Clissold","6.9.15"
"00AMGE","Dalston","6.9.15"
"00AMGF","De Beauvoir","6.9.15"
"00AMGG","Hackney Central","6.9.15"
"00AMGH","Hackney Downs","6.9.15"
"00AMGJ","Haggerston","6.9.15"
"00AMGK","Hoxton","6.9.15"
"00AMGL","King's Park","6.9.15"
"00AMGM","Leabridge","6.9.15"
"00AMGN","Lordship","6.9.15"
"00AMGP","New River","6.9.15"
"00AMGQ","Queensbridge","6.9.15"
"00AMGR","Springfield","6.9.15"
"00AMGS","Stoke Newington Central","6.9.15"
"00AMGT","Victoria","6.9.15"
"00AMGU","Wick","6.9.15"
"00ANGA","Addison","4.6.9"
"00ANGB","Askew","4.6.9"
"00ANGC","Avonmore and Brook Green","4.6.9"
"00ANGD","College Park and Old Oak","6.9.15"
"00ANGE","Fulham Broadway","4.6.9"
"00ANGF","Fulham Reach","4.6.9"
"00ANGG","Hammersmith Broadway","6.9.15"
"00ANGH","Munster","4.6.9"
"00ANGJ","North End","4.6.9"
"00ANGK","Palace Riverside","4.6.9"
"00ANGL","Parsons Green and Walham","4.6.9"
"00ANGM","Ravenscourt Park","4.6.9"
"00ANGN","Sands End","4.6.9"
"00ANGP","Shepherd's Bush Green","4.6.9"
"00ANGQ","Town","4.6.9"
"00ANGR","Wormholt and White City","6.9.15"
"00APGA","Alexandra","4.6.9"
"00APGB","Bounds Green","6.9.15"
"00APGC","Bruce Grove","6.9.15"
"00APGD","Crouch End","4.6.9"
"00APGE","Fortis Green","4.6.9"
"00APGF","Harringay","4.6.9"
"00APGG","Highgate","4.6.9"
"00APGH","Hornsey","6.9.15"
"00APGJ","Muswell Hill","4.6.9"
"00APGK","Noel Park","6.9.15"
"00APGL","Northumberland Park","6.9.15"
"00APGM","St Ann's","6.9.15"
"00APGN","Seven Sisters","6.9.15"
"00APGP","Stroud Green","4.6.9"
"00APGQ","Tottenham Green","6.9.15"
"00APGR","Tottenham Hale","6.9.15"
"00APGS","West Green","6.9.15"
"00APGT","White Hart Lane","6.9.15"
"00APGU","Woodside","6.9.15"
"00AQFY","Belmont","7.12.20"
"00AQFZ","Canons","7.12.20"
"00AQGA","Edgware","6.8.14"
"00AQGB","Greenhill","4.6.9"
"00AQGC","Harrow on the Hill","7.12.20"
"00AQGD","Harrow Weald","7.12.20"
"00AQGE","Hatch End","7.12.19"
"00AQGF","Headstone North","7.12.20"
"00AQGG","Headstone South","7.12.20"
"00AQGH","Kenton East","6.8.14"
"00AQGJ","Kenton West","6.8.14"
"00AQGK","Marlborough","7.12.20"
"00AQGL","Pinner","7.12.19"
"00AQGM","Pinner South","7.12.19"
"00AQGN","Queensbury","6.8.14"
"00AQGP","Rayners Lane","7.12.20"
"00AQGQ","Roxbourne","6.8.14"
"00AQGR","Roxeth","6.8.14"
"00AQGS","Stanmore Park","7.12.20"
"00AQGT","Wealdstone","7.12.20"
"00AQGU","West Harrow","7.12.20"
"00ARGC","Brooklands","7.12.20"
