Supplier ID,Supplier Name,Amount
112487,10 Lane Learning Ltd,575.00
105239,1st Class Carriage,"12,162.00"
3862001,2Simple Software Ltd,"1,372.88"
3319301,3C environmental technology Ltd,"12,811.00"
105096,3c Technology Limited,"1,543.30"
2108401,3M United Kingdom Plc,"5,370.10"
101332,A & B Oil,561.00
111512,A A A Badges of Quality,517.50
2557201,Named Individual,549.70
109001,A N V Measurement Systems,856.75
110384,A S Judo,540.00
103775,A&J Sectional Buildings,995.00
2395801,A2B Taxis,"1,624.00"
112290,A2OM,690.00
101709,A2Z Computer Products Ltd,"4,602.30"
110757,A4 Self Store,"2,010.00"
4380101,Abba Cars,"162,868.62"
104348,ABC to Read,"1,289.00"
100448,Ability Associates Ltd,"27,521.98"
3516205,AbilityNet,"1,670.26"
112555,Abyss Audio Lighting,"1,125.85"
104574,Academics Ltd,"3,191.25"
107115,Access Infrastructure,"48,651.69"
216401,Account Of All Saints  Ascot,"1,013.00"
104806,Accurate,"1,176.45"
108168,ACIS,"71,352.18"
3911401,Acorn Commercial Cleaning,"1,339.67"
111681,ACS Consulting (London),"4,600.00"
2407101,Action For Blind People,"1,600.65"
110429,Action on Addiction,"2,557.71"
112424,ActiveIQ Ltd,"2,205.00"
112255,Actual Power Ltd,784.08
100779,ADCS,"2,055.63"
112218,Add Zest Marketing,"13,967.90"
106981,Addlestone Lodge,"6,017.95"
4350301,Adem Limited,"1,659.11"
132901,ADT Fire & Security,"5,317.95"
332701,Advance Housing & Support Ltd,"28,728.97"
4339501,Advance Publications,630.20
185708,Age Concern Slough,"18,500.00"
185703,Age Concern Windsor,"13,850.00"
4139701,Agresso Limited,"111,262.50"
103631,AKW Medi-Care Limited,"1,622.45"
2115001,Alarm,"1,265.00"
111634,Albany House,"19,675.98"
112315,Alco Construction,"4,284.90"
111661,Aldwick Residential Care Home,"5,322.26"
103428,Alite Ltd,"2,296.55"
2406301,All Saints Pre-School,"7,845.50"
50101,Allen Roofing Contractors Ltd,"8,643.40"
109055,Allison Home Services,"2,243.00"
105473,Alma Supported Lodgings for Young People,"27,634.30"
112332,Almega Limited,569.25
108945,ALP Electrical (Maidenhead) Limited,"20,155.19"
2952302,Alzheimers Society - Maidenhead Branch,"23,000.00"
3601,Ambleglow Ltd,"120,366.37"
103738,Andrews Eades Ltd,"23,521.70"
106979,Angels Pre-School,"18,303.76"
101738,Anglo Financial Services (AFS),843.95
3128201,Named Individual,998.00
3434101,Anne Bunce,"13,550.00"
105066,ANS Group Plc,"3,916.90"
104009,Anslow Communications Limited,"1,552.16"
103637,Anson (UK) Ltd,"2,532.07"
112182,APC Affordable Pest Control Ltd,782.00
2396701,Apollo Cars,"57,290.96"
100747,Apple Travel Ltd,"2,915.00"
259301,Applegarth Residential Home,"17,069.54"
101744,AQA,"91,567.80"
106568,AQA,"14,839.55"
12701,AR Fabb Bros Ltd,"1,224.75"
101746,Archway Lawnmowers,"1,609.56"
105688,Arena Fire Systems,"35,563.56"
108424,Arena Seating Ltd,"1,924.81"
102661,Arena Security Limited,"4,621.85"
112407,Argon Associates Limited,"5,000.00"
3924601,Argos Business Solutions,752.74
90502,Argos Ltd trading as Argos Business Solutions,"3,489.58"
104351,Army Welfare Service,"1,000.00"
2519602,Arriva The Shires And Essex,"10,574.13"
3008301,Arval Limited,"1,563.92"
105628,ASB Blinds Ltd,939.37
101471,Ascendit Lifts Ltd,"4,658.00"
2476801,ASCO Educational Supplies Ltd,"5,999.10"
2117301,Ascot Hospitality,592.25
2322801,Ascot Nursery School,"19,440.75"
32501,Ascot Residential Homes Ltd,"6,584.69"
2290501,Ashford Luxury Coaches,"4,324.33"
105167,Ashley Blind Contracts,"3,622.50"
106327,Ashridge,"4,115.24"
2273601,Askews Library Services Ltd,"11,858.40"
111322,ASP Online Software Ltd,"1,955.00"
3280301,Asquith Nurseries Ltd,"8,524.88"
88401,Associated Structural Design Ltd,"2,501.42"
541201,Aston University,"1,958.00"
107961,Astun Technology Ltd,"4,312.50"
101667,ATG Access,"9,094.83"
