Directorate,Updated,TransNo,Service,Supplier Name,Amount
Adult & Community Services,28/09/2009,2616303,Adult Social Care Management,Impower Consulting Limited,"9,650.00"
Adult & Community Services,07/09/2009,2612994,Adult Social Care Management,In4tek Ltd,"1,539.33"
Adult & Community Services,08/09/2009,2612925,Adult Social Care Management,People To Places,"8,691.67"
Adult & Community Services,12/09/2009,2613451,Adult Social Care Management,Vodafone Limited (Corporate),561.43
Adult & Community Services,03/09/2009,2612704,Allotments,South East Water Plc,554.24
Adult & Community Services,16/09/2009,2614303,Allotments,Thames Water Utilities Ltd,865
Adult & Community Services,21/09/2009,2615615,Allotments,Thames Water Utilities Ltd,"3,234.58"
Adult & Community Services,25/09/2009,2616698,Arts,Firestation,"18,500.00"
Adult & Community Services,25/09/2009,2616697,Arts,Norden Farm Centre Trust Limited,"25,000.00"
Adult & Community Services,16/09/2009,2614711,Arts,Southern Electric Plc,"2,707.13"
Adult & Community Services,02/09/2009,2612455,Arts,The Anthony Smith Partnership,950
Adult & Community Services,24/09/2009,2616370,Arts,Total Gas & Power Limited,949.11
Adult & Community Services,29/09/2009,2617430,Cemeteries & Churchyards,Gower Consultants Ltd,"1,794.87"
Adult & Community Services,08/09/2009,2612742,Cemeteries & Churchyards,ISS Waterers Landscape,"11,283.43"
Adult & Community Services,02/09/2009,2612401,Charters Leisure Centre,Opec Construction PLC,935
Adult & Community Services,02/09/2009,2612402,Charters Leisure Centre,Opec Construction PLC,950
Adult & Community Services,02/09/2009,2612021,Community Leisure Services,Berks Bucks And Oxon Wildlife,"1,275.00"
Adult & Community Services,30/09/2009,2617521,Community Leisure Services,Croft Fencing,"1,700.00"
Adult & Community Services,03/09/2009,2612589,Community Leisure Services,Southern Bearing Ltd,"2,000.00"
Adult & Community Services,09/09/2009,2613416,Community Leisure Services,Thames Forge Ltd,"1,550.00"
Adult & Community Services,02/09/2009,2612240,Community Services Unit,Vodafone Limited (Corporate),954.85
Adult & Community Services,12/09/2009,2614125,Concessionary Transport,Arriva The Shires And Essex,"5,023.26"
Adult & Community Services,28/09/2009,2616854,Concessionary Transport,Arriva The Shires And Essex,"4,585.95"
Adult & Community Services,08/09/2009,2612793,Concessionary Transport,Ashford Luxury Coaches,968.11
Adult & Community Services,22/09/2009,2615143,Concessionary Transport,Courtney Coaches Ltd,"33,087.45"
Adult & Community Services,02/09/2009,2612132,Concessionary Transport,First Beeline Buses Ltd,"47,791.33"
Adult & Community Services,28/09/2009,2616136,Concessionary Transport,First Beeline Buses Ltd,"47,968.55"
Adult & Community Services,02/09/2009,2612131,Concessionary Transport,White Bus Services,"4,771.38"
Adult & Community Services,28/09/2009,2616853,Concessionary Transport,White Bus Services,"4,771.38"
Adult & Community Services,01/09/2009,2610335,Cox Green Leisure Centre,Southern Bearing Ltd,"1,193.84"
Adult & Community Services,03/09/2009,2612692,Cox Green Leisure Centre,Southern Bearing Ltd,"1,193.84"
Adult & Community Services,22/09/2009,2615138,Drug Action Team,Berkshire Healthcare NHS Trust,"14,445.83"
Adult & Community Services,22/09/2009,2615137,Drug Action Team,R H Sands & Sons,"4,625.00"
Adult & Community Services,22/09/2009,2615890,Drug Action Team,Turning Point,"60,606.25"
Adult & Community Services,02/09/2009,2612443,Elderly & Physical Disability,A2B Taxis,648
Adult & Community Services,01/10/2009,2617198,Elderly & Physical Disability,A2B Taxis,576
Adult & Community Services,17/09/2009,2615000,Elderly & Physical Disability,Albany House,"2,424.00"
Adult & Community Services,16/09/2009,2614586,Elderly & Physical Disability,Allen Roofing Contractors Ltd,588
Adult & Community Services,17/09/2009,2615051,Elderly & Physical Disability,Applegarth Residential Home,"1,777.32"
Adult & Community Services,17/09/2009,2615052,Elderly & Physical Disability,Applegarth Residential Home,"2,035.15"
Adult & Community Services,17/09/2009,2615054,Elderly & Physical Disability,Applegarth Residential Home,"1,877.59"
Adult & Community Services,22/09/2009,2615823,Elderly & Physical Disability,Applegarth Residential Home,"1,051.43"
Adult & Community Services,22/09/2009,2615825,Elderly & Physical Disability,Applegarth Residential Home,"1,998.81"
Adult & Community Services,22/09/2009,2615826,Elderly & Physical Disability,Applegarth Residential Home,"1,998.81"
Adult & Community Services,22/09/2009,2615828,Elderly & Physical Disability,Applegarth Residential Home,"2,172.61"
Adult & Community Services,17/09/2009,2615007,Elderly & Physical Disability,Atkinsons Private Nursing Home,"2,410.20"
Adult & Community Services,09/09/2009,2613687,Elderly & Physical Disability,Austen House Nursing Home,"3,204.34"
Adult & Community Services,16/09/2009,2614823,Elderly & Physical Disability,Austen House Nursing Home,"4,071.43"
Adult & Community Services,09/09/2009,2613537,Elderly & Physical Disability,Birdsgrove Nursing Home,"2,357.14"
Adult & Community Services,09/09/2009,2613571,Elderly & Physical Disability,Birdsgrove Nursing Home,"2,791.50"
Adult & Community Services,17/09/2009,2615045,Elderly & Physical Disability,Birdsgrove Nursing Home,"2,799.43"
Adult & Community Services,02/09/2009,2612058,Elderly & Physical Disability,Bluebird Care(Reading Wokingham),"3,059.47"
Adult & Community Services,25/09/2009,2616777,Elderly & Physical Disability,Bluebird Care(Reading Wokingham),"1,379.84"
Adult & Community Services,25/09/2009,2616779,Elderly & Physical Disability,Bluebird Care(Reading Wokingham),"1,103.20"
Adult & Community Services,25/09/2009,2616782,Elderly & Physical Disability,Bluebird Care(Reading Wokingham),"1,940.73"
Adult & Community Services,01/10/2009,2616784,Elderly & Physical Disability,Bluebird Care(Reading Wokingham),"3,659.68"
Adult & Community Services,17/09/2009,2614606,Elderly & Physical Disability,Bracknell Forest Borough Council,"2,127.30"
Adult & Community Services,17/09/2009,2614606,Elderly & Physical Disability,Bracknell Forest Borough Council,"5,348.64"
Adult & Community Services,12/09/2009,2614018,Elderly & Physical Disability,Briarlea Care Home,"5,185.53"
Adult & Community Services,12/09/2009,2614023,Elderly & Physical Disability,Briarlea Care Home,"5,185.53"
Adult & Community Services,17/09/2009,2615038,Elderly & Physical Disability,Burnham House Care Centre,"2,627.62"
Adult & Community Services,17/09/2009,2615040,Elderly & Physical Disability,Burnham House Care Centre,"2,753.87"
Adult & Community Services,01/10/2009,2616676,Elderly & Physical Disability,Care Monitoring 2000 Ltd,"5,154.46"
Adult & Community Services,02/09/2009,2611922,Elderly & Physical Disability,Care Response Ltd,"2,727.00"
Adult & Community Services,02/09/2009,2611535,Elderly & Physical Disability,Care UK Community Partnerships Ltd,"11,134.03"
Adult & Community Services,16/09/2009,2614828,Elderly & Physical Disability,Care UK Community Partnerships Ltd,"3,207.00"
Adult & Community Services,22/09/2009,2615430,Elderly & Physical Disability,Care UK Community Partnerships Ltd,"98,643.77"
Adult & Community Services,12/09/2009,2614252,Elderly & Physical Disability,Careforce,"51,894.95"
Adult & Community Services,12/09/2009,2613632,Elderly & Physical Disability,Carewatch (South Bucks & North Berks),"18,748.80"
Adult & Community Services,12/09/2009,2614246,Elderly & Physical Disability,Carewatch (South Bucks & North Berks),"28,831.53"
Adult & Community Services,22/09/2009,2615552,Elderly & Physical Disability,Central & Cecil,"2,400.00"
