Directorate,Updated,TransNo,Service,Cost Centre,Supplier Name,Amount,Type
Adult & Community Services,10/7/2009,2618827,Adult Management,HC50,Pertemps Recruitment Partnership,"1,592.66",Revenue
Adult & Community Services,10/9/2009,2619408,Adult Management,HC50,Railex Filing Ltd,515,Revenue
Adult & Community Services,11/17/2009,2626848,Adult Management,HC50,Ricoh Capital Limited,"1,349.00",Revenue
Adult & Community Services,11/25/2009,2628406,Adult Social Care Management,SRTS,Browns Social Care Professionals,"1,470.00",Revenue
Adult & Community Services,10/29/2009,2623358,Adult Social Care Management,SRTS,Carnarvon Consultancy,"5,904.00",Revenue
Adult & Community Services,10/29/2009,2623360,Adult Social Care Management,SRTS,Carnarvon Consultancy,"5,856.00",Revenue
Adult & Community Services,12/14/2009,2631447,Adult Social Care Management,SRTS,Carnarvon Consultancy,"6,400.00",Revenue
Adult & Community Services,12/14/2009,2631449,Adult Social Care Management,SRTS,Carnarvon Consultancy,"6,400.00",Revenue
Adult & Community Services,12/14/2009,2631450,Adult Social Care Management,SRTS,Carnarvon Consultancy,"6,400.00",Revenue
Adult & Community Services,9/28/2009,2616303,Adult Social Care Management,SRTS,Impower Consulting Limited,"9,650.00",Revenue
Adult & Community Services,11/25/2009,2628405,Adult Social Care Management,SRTS,Impower Consulting Limited,"21,483.00",Revenue
Adult & Community Services,9/7/2009,2612994,Adult Social Care Management,SRTS,In4tek Ltd,"1,539.33",Revenue
Adult & Community Services,10/23/2009,2622455,Adult Social Care Management,SRTS,Oxford Brookes University,"5,000.00",Revenue
Adult & Community Services,9/8/2009,2612925,Adult Social Care Management,SRMC,People To Places,"8,691.67",Revenue
Adult & Community Services,10/9/2009,2618784,Adult Social Care Management,SRMC,People To Places,"8,691.67",Revenue
Adult & Community Services,11/20/2009,2626548,Adult Social Care Management,SRMC,People To Places,"8,691.67",Revenue
Adult & Community Services,11/20/2009,2627055,Adult Social Care Management,SRMC,The Princess Royal Trust Carers Service,"22,474.00",Revenue
Adult & Community Services,9/12/2009,2613451,Adult Social Care Management,SRMT,Vodafone Limited (Corporate),561.43,Revenue
Adult & Community Services,10/9/2009,2619455,Allotments,LA10,PN Landscape & Property Maint,"1,250.00",Revenue
Adult & Community Services,12/9/2009,2631004,Allotments,LA10,PN Landscape & Property Maint,"1,250.00",Revenue
Adult & Community Services,9/3/2009,2612704,Allotments,LA10,South East Water Plc,554.24,Revenue
Adult & Community Services,9/16/2009,2614303,Allotments,LA10,Thames Water Utilities Ltd,865,Revenue
Adult & Community Services,9/21/2009,2615615,Allotments,LA10,Thames Water Utilities Ltd,"3,234.58",Revenue
Adult & Community Services,11/19/2009,2627065,Allotments,LA10,Thames Water Utilities Ltd,829.18,Revenue
Adult & Community Services,9/25/2009,2616698,Arts,LV10,Firestation,"18,500.00",Revenue
Adult & Community Services,11/23/2009,2627824,Arts,LV10,Firestation,745,Revenue
