Directorate,Updated,Service,Supplier Name,Amount,Type
Resources,17/03/2010,CSC,Idox Software Limited,"1,000.00",Capital
Children's Services,04/02/2010,Education & Childcare Services,1st Class Carriage,"3,127.00",Revenue
Children's Services,08/03/2010,Education & Childcare Services,1st Class Carriage,"2,363.00",Revenue
Adult & Community Services,19/03/2010,Libraries & Information Services,2BSourced,"1,931.50",Revenue
Childrens Services,09/03/2010,Schools-Devolved Capital,2Simple Software Ltd,599,Capital
Children's Services,25/03/2010,ISB,2Simple Software Ltd,"1,630.00",Revenue
Resources,25/03/2010,Corporate IT,3c Technology Limited,748.75,Revenue
Children's Services,01/02/2010,Families & Young People,A A Clark Ltd,"1,000.00",Revenue
Children's Services,30/03/2010,Families & Young People,a Different Focus,"1,500.00",Revenue
Resources,09/03/2010,Procurement,A V L Consultancy Ltd,"7,687.50",Revenue
Children's Services,10/03/2010,ISB,A2Z Computer Products Ltd,"1,320.00",Revenue
Children's Services,23/03/2010,Families & Young People,A4 Self Store,511.09,Revenue
Children's Services,31/03/2010,Families & Young People,A4 Self Store,"1,815.00",Revenue
Children's Services,31/03/2010,Families & Young People,A4 Self Store,734.9,Revenue
Children's Services,12/03/2010,Safeguarding & Specialist Services,A4 Self Store,"1,200.00",Revenue
Adult & Community Services,01/02/2010,Learning Disability,Aaron Silver,500,Revenue
Adult & Community Services,01/02/2010,Learning Disability,Aaron Silver,"3,909.36",Revenue
Children's Services,12/02/2010,Education & Childcare Services,Abba Cars,"1,748.46",Revenue
Children's Services,12/02/2010,Education & Childcare Services,Abba Cars,"14,306.53",Revenue
Children's Services,12/02/2010,Education & Childcare Services,Abba Cars,867.16,Revenue
Children's Services,12/02/2010,Education & Childcare Services,Abba Cars,910,Revenue
Children's Services,25/02/2010,Education & Childcare Services,Abba Cars,"2,437.80",Revenue
Children's Services,25/02/2010,Education & Childcare Services,Abba Cars,"20,519.67",Revenue
Children's Services,25/02/2010,Education & Childcare Services,Abba Cars,"2,217.58",Revenue
Children's Services,25/02/2010,Education & Childcare Services,Abba Cars,"1,235.00",Revenue
Children's Services,24/03/2010,Education & Childcare Services,Abba Cars,"3,570.00",Revenue
Children's Services,30/03/2010,Education & Childcare Services,Abba Cars,"1,665.00",Revenue
Children's Services,30/03/2010,Education & Childcare Services,Abba Cars,788.67,Revenue
Children's Services,30/03/2010,Education & Childcare Services,Abba Cars,"15,763.20",Revenue
Children's Services,30/03/2010,Education & Childcare Services,Abba Cars,778.74,Revenue
Children's Services,30/03/2010,Education & Childcare Services,Abba Cars,975,Revenue
Children's Services,28/01/2010,Families & Young People,ABC Design & Print,503,Revenue
Adult & Community Services,19/01/2010,Learning Disability,Ability Associates Ltd,"5,241.52",Revenue
Adult & Community Services,02/02/2010,Learning Disability,Ability Associates Ltd,"5,241.52",Revenue
Adult & Community Services,25/02/2010,Learning Disability,Ability Associates Ltd,"5,241.52",Revenue
Adult & Community Services,25/03/2010,Learning Disability,Ability Associates Ltd,"5,241.52",Revenue
Children's Services,27/01/2010,ISB,ABR Garage Doors,799,Revenue
Children's Services,26/02/2010,ISB,ABR Garage Doors,556,Revenue
Children's Services,26/03/2010,ISB,Academia Ltd,804.75,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,925,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,925,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,945,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,630,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,925,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,740,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,945,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,700,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,740,Revenue
Children's Services,04/01/2010,ISB,Academics Ltd,740,Revenue
Children's Services,01/02/2010,ISB,Academics Ltd,560,Revenue
Children's Services,01/02/2010,ISB,Academics Ltd,925,Revenue
Children's Services,01/02/2010,ISB,Academics Ltd,700,Revenue
Children's Services,01/02/2010,ISB,Academics Ltd,945,Revenue
Children's Services,15/02/2010,ISB,Academics Ltd,700,Revenue
Children's Services,25/02/2010,ISB,Academics Ltd,560,Revenue
Children's Services,09/03/2010,ISB,Academics Ltd,700,Revenue
Children's Services,09/03/2010,ISB,Academics Ltd,700,Revenue
Children's Services,12/03/2010,ISB,Academics Ltd,560,Revenue
Children's Services,25/03/2010,ISB,Academics Ltd,700,Revenue
Children's Services,25/03/2010,ISB,Academics Ltd,700,Revenue
Children's Services,29/03/2010,ISB,Academics Ltd,700,Revenue
Children's Services,29/03/2010,ISB,Academics Ltd,925,Revenue
Children's Services,07/01/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,296.00",Revenue
Children's Services,19/01/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Children's Services,19/01/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Children's Services,26/01/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,068.00",Revenue
Children's Services,26/01/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,344.00",Revenue
Children's Services,03/02/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Children's Services,04/02/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"4,229.60",Revenue
Children's Services,04/02/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"4,229.60",Revenue
Children's Services,24/02/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Children's Services,24/02/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Children's Services,24/02/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Children's Services,18/03/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Children's Services,18/03/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Children's Services,18/03/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Children's Services,19/03/2010,Safeguarding & Specialist Services,Academy Social Care Limited,"1,776.00",Revenue
Environmental Services,17/02/2010,Operations,Access Infrastructure,"4,200.00",Capital
Environmental Services,17/02/2010,Operations,Access Infrastructure,"12,000.00",Capital
Environmental Services,29/03/2010,Operations,Access Infrastructure,"14,280.00",Capital
Children's Services,08/01/2010,DSG Education & Childcare Services,Access Infrastructure,"4,801.38",Revenue
Children's Services,08/01/2010,DSG Education & Childcare Services,Access Infrastructure,533.74,Revenue
Children's Services,16/02/2010,DSG Education & Childcare Services,Access Infrastructure,"2,807.19",Revenue
Environmental Services,05/01/2010,Local Transport Plan,ACIS Ltd,"1,845.92",Capital
Environmental Services,05/01/2010,Local Transport Plan,ACIS Ltd,560,Capital
Environmental Services,10/03/2010,Local Transport Plan,ACIS Ltd,"1,040.00",Capital
Children's Services,15/03/2010,DSG Education & Childcare Services,Action for Children,"19,753.46",Revenue
Resources,29/03/2010,Customer Service Centre,Actual Power Ltd,"1,950.00",Revenue
Childrens Services,02/02/2010,Schools-Devolved Capital,Adams & Wade (Maidenhead) Limited,"2,052.00",Capital
Childrens Services,09/03/2010,Schools-Devolved Capital,Adams & Wade (Maidenhead) Limited,"13,078.00",Capital
Children's Services,23/01/2010,ISB,Adams & Wade (Maidenhead) Limited,"8,104.00",Revenue
Children's Services,01/02/2010,ISB,Adams & Wade (Maidenhead) Limited,"1,203.19",Revenue
Adult & Community Services,24/02/2010,Adult Management,ADASS,638.3,Revenue
Resources,24/03/2010,Corporate IT,Adelante Software Limited,"9,366.66",Revenue
Resources,24/03/2010,Accountancy Division,Adelante Software Limited,535.39,Revenue
"Policy,Performance & Planning",24/03/2010,Development Control,Adelante Software Limited,681.41,Revenue
Adult & Community Services,11/03/2010,Libraries & Information Services,Adem Limited,"1,509.00",Revenue
Adult & Community Services,11/03/2010,Libraries & Information Services,Adem Limited,503,Revenue
Children's Services,19/01/2010,Safeguarding & Specialist Services,Adoption UK,985,Revenue
Children's Services,03/02/2010,Safeguarding & Specialist Services,Adoption UK,985,Revenue
Children's Services,24/02/2010,Safeguarding & Specialist Services,Adoption UK,960.37,Revenue
Children's Services,08/03/2010,Safeguarding & Specialist Services,Adoption UK,960.37,Revenue
Adult & Community Services,02/02/2010,Learning Disability,Advance Housing & Support Ltd,"28,580.76",Revenue
Adult & Community Services,09/02/2010,Learning Disability,Advance Housing & Support Ltd,"1,320.00",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Advance Housing & Support Ltd,"23,970.96",Revenue
Adult & Community Services,25/03/2010,Learning Disability,Advance Housing & Support Ltd,"20,078.24",Revenue
Environmental Services,12/03/2010,Coach & Car Parks,Advanced Marking Services Limited,881.75,Revenue
Environmental Services,29/03/2010,Road Safety & Crossing Patrols,Adverticket,607.5,Revenue
Children's Services,15/03/2010,ISB,Advice4schools Ltd,500,Revenue
